a b c d e f g h i
157 -999 -0.136 -0.5229 0.3007 -999 -0.2115 -0.4508 0.1535
158 -999 -0.1565 -0.5596 0.2761 -999 -0.2141 -0.4509 0.1515
159 -999 -0.1226 -0.5133 0.3016 -999 -0.2168 -0.4515 0.1491
160 -999 -0.0808 -0.4839 0.3692 -999 -0.2199 -0.456 0.1446
161 -999 -0.1039 -0.4979 0.3256 -999 -0.2235 -0.4567 0.1415
162 -999 -0.1006 -0.557 0.405 -999 -0.2263 -0.4574 0.1366
163 -999 -0.2182 -0.5928 0.197 -999 -0.229 -0.4593 0.1331
164 -999 -0.1603 -0.5219 0.2328 -999 -0.2319 -0.4607 0.1277
165 -999 -0.2266 -0.6238 0.2046 -999 -0.2345 -0.463 0.1228
166 -999 -0.2915 -0.6629 0.0876 -999 -0.2386 -0.4661 0.1176
167 -999 -0.2601 -0.6389 0.1162 -999 -0.2428 -0.4666 0.1133
168 -999 -0.2463 -0.5999 0.1302 -999 -0.2463 -0.4677 0.1081
169 -999 -0.254 -0.6019 0.1233 -999 -0.2501 -0.4697 0.1036
170 -999 -0.2726 -0.6449 0.0983 -999 -0.2531 -0.4734 0.0985
171 -999 -0.2259 -0.5793 0.1426 -999 -0.2565 -0.475 0.092
172 -999 -0.2165 -0.5499 0.1409 -999 -0.2596 -0.4779 0.0857
173 -999 -0.158 -0.5278 0.2675 -999 -0.2626 -0.4806 0.0798
174 -999 -0.3035 -0.6968 0.0737 -999 -0.2647 -0.4834 0.0749
175 -999 -0.3108 -0.6809 0.0413 -999 -0.2667 -0.4836 0.0694
176 -999 -0.2169 -0.572 0.1801 -999 -0.2683 -0.4871 0.0656
177 -999 -0.2549 -0.568 0.1032 -999 -0.2699 -0.4881 0.0621
178 -999 -0.3179 -0.6948 0.0457 -999 -0.2716 -0.4885 0.0587
179 -999 -0.369 -0.7612 0.0108 -999 -0.2726 -0.4901 0.0559
180 -999 -0.3631 -0.7538 0.0029 -999 -0.273 -0.4909 0.0537
181 -999 -0.2901 -0.6468 0.0688 -999 -0.2734 -0.4918 0.0533
182 -999 -0.3337 -0.737 0.0126 -999 -0.2733 -0.4924 0.0515
183 -999 -0.2999 -0.6609 0.0322 -999 -0.2737 -0.491 0.0504
184 -999 -0.2739 -0.619 0.0533 -999 -0.2728 -0.4912 0.0504
185 -999 -0.2693 -0.6429 0.0588 -999 -0.2717 -0.4902 0.0498
186 -999 -0.2307 -0.5768 0.1082 -999 -0.2708 -0.4882 0.0496
187 -999 -0.2691 -0.6648 0.1016 -999 -0.2697 -0.4875 0.0489
188 -999 -0.229 -0.568 0.1083 -999 -0.2677 -0.4858 0.0489
189 -999 -0.2789 -0.6439 0.055 -999 -0.2663 -0.4838 0.0491
190 -999 -0.2518 -0.6174 0.0785 -999 -0.2648 -0.4809 0.049
191 -999 -0.1419 -0.4838 0.1761 -999 -0.2628 -0.4791 0.0498
192 -999 -0.3069 -0.7137 0.0711 -999 -0.2607 -0.4778 0.05
193 -999 -0.2655 -0.6298 0.0962 -999 -0.2586 -0.4757 0.0517
194 -999 -0.1351 -0.4888 0.1991 -999 -0.2571 -0.4744 0.0523
195 -999 -0.1712 -0.5026 0.1426 -999 -0.2551 -0.4731 0.0534
