481505.44867774	-1621170.78383248	163.458004798 -74.5260293651 26.207 58476.6687153
481505.44999859	-1621170.78454755	163.458004762 -74.5260293555 26.209 58476.6688889
481505.45028089	-1621170.78280263	163.458004736 -74.5260293699 26.203 58476.6690625
481505.45024642	-1621170.78310125	163.45800474 -74.5260293674 26.201 58476.6692361
481505.45290415	-1621170.78531104	163.458004675 -74.5260293414 26.197 58476.6694097
481505.45223093	-1621170.78439207	163.458004688 -74.5260293511 26.198 58476.6695833
481505.45273103	-1621170.78483183	163.458004676 -74.526029346 26.198 58476.6697569
481505.45201369	-1621170.78366066	163.458004688 -74.526029358 26.206 58476.6699306
481505.45248284	-1621170.78534389	163.458004689 -74.5260293422 26.202 58476.6701042
481505.45273475	-1621170.78629570	163.45800469 -74.5260293333 26.192 58476.6702778
481505.45349257	-1621170.78646282	163.458004667 -74.5260293299 26.199 58476.6704514
481505.45206552	-1621170.78756725	163.458004724 -74.526029324 26.199 58476.670625
481505.45240478	-1621170.78673976	163.458004705 -74.5260293303 26.192 58476.6707986
481505.45425052	-1621170.78694135	163.458004647 -74.5260293238 26.197 58476.6709722
481505.45567595	-1621170.78977091	163.458004628 -74.5260292956 26.191 58476.6711458
481505.45524172	-1621170.78893093	163.458004634 -74.526029304 26.195 58476.6713194
481505.45282246	-1621170.78545065	163.458004679 -74.5260293404 26.201 58476.6714931
481505.45449988	-1621170.78943964	163.458004663 -74.5260293015 26.199 58476.6716667
481505.45731124	-1621170.79050795	163.458004582 -74.526029285 26.183 58476.6718403
481505.45340636	-1621170.79114866	163.458004715 -74.5260292895 26.178 58476.6720139
481505.45211888	-1621170.78733223	163.45800472 -74.5260293259 26.188 58476.6721875
481505.45174827	-1621170.78836513	163.458004742 -74.5260293179 26.196 58476.6723611
481505.45264167	-1621170.78950707	163.458004724 -74.5260293057 26.186 58476.6725347
481505.45217911	-1621170.78857168	163.45800473 -74.526029315 26.193 58476.6727083
481505.45450085	-1621170.79193096	163.458004687 -74.5260292799 26.187 58476.6728819
481505.45234863	-1621170.78789843	163.458004718 -74.5260293204 26.195 58476.6730556
481505.45457250	-1621170.79020247	163.458004668 -74.5260292947 26.188 58476.6732292
481505.45066915	-1621170.78670158	163.458004761 -74.5260293351 26.197 58476.6734028
481505.44975165	-1621170.78827756	163.458004806 -74.5260293238 26.187 58476.6735764
481505.45109777	-1621170.78928505	163.458004772 -74.5260293116 26.188 58476.67375
481505.45236809	-1621170.78941530	163.458004732 -74.5260293072 26.18 58476.6739236
481505.45435865	-1621170.79010449	163.458004674 -74.5260292961 26.18 58476.6740972
481505.45250294	-1621170.78852164	163.458004719 -74.5260293146 26.186 58476.6742708
481505.45114988	-1621170.78583207	163.458004737 -74.5260293414 26.186 58476.6744444
481505.45396773	-1621170.78744061	163.458004661 -74.5260293202 26.18 58476.6746181
481505.45359929	-1621170.78599278	163.458004659 -74.5260293337 26.185 58476.6747917
481505.45417855	-1621170.78783940	163.458004658 -74.5260293162 26.188 58476.6749653
481505.45218141	-1621170.78640238	163.458004709 -74.5260293338 26.182 58476.6751389
481505.45268308	-1621170.79089053	163.458004736 -74.5260292936 26.182 58476.6753125
481505.45203569	-1621170.78363106	163.458004687 -74.5260293582 26.191 58476.6754861
